date,top10_gross,change_YD,change_LW,releases,title,daily_gross,scrape_date
Nov 20,4131461,-18.7%,+0.5%,42,Now You See Me: Now You Don't,1254859,2025-12-21
Nov 19,5084591,-37.4%,-4.7%,45,Now You See Me: Now You Don't,1429974,2025-12-21
Nov 18,8116880,+68.1%,-34.4%,44,Now You See Me: Now You Don't,2554095,2025-12-21
Nov 17,4827567,-70.9%,-34.5%,45,Now You See Me: Now You Don't,1456399,2025-12-21
Nov 16,16581919,-37.6%,-8.9%,46,Now You See Me: Now You Don't,4929624,2025-12-21
Nov 15,26555611,+11.5%,-5.7%,46,Now You See Me: Now You Don't,7697023,2025-12-21
Nov 14,23813555,+479.1%,-12.7%,46,Now You See Me: Now You Don't,8387146,2025-12-21
Nov 13,4112185,-22.9%,+9.9%,44,Predator: Badlands,1712829,2025-12-21
Nov 12,5332842,-56.9%,+13.1%,44,Predator: Badlands,2310364,2025-12-21
Nov 11,12379271,+68.1%,+74.5%,43,Predator: Badlands,5784091,2025-12-21
Nov 10,7365009,-59.5%,+50.1%,44,Predator: Badlands,3480723,2025-12-21
Nov 9,18200591,-35.4%,+14.5%,44,Predator: Badlands,9587542,2025-12-21
Nov 8,28169763,+3.3%,+32.5%,44,Predator: Badlands,14530856,2025-12-21
Nov 7,27263029,+628.8%,+142.8%,45,Predator: Badlands,15898455,2025-12-21
Nov 6,3740900,-20.7%,-39.6%,47,Regretting You,875226,2025-12-21
Nov 5,4716244,-33.5%,-38.5%,47,Regretting You,886557,2025-12-21
Nov 4,7095177,+44.6%,-19.4%,45,Regretting You,1401780,2025-12-21
Nov 3,4906568,-69.1%,-22.9%,44,Regretting You,1054887,2025-12-21
Nov 2,15893297,-25.3%,-11.8%,50,Regretting You,2807961,2025-12-21
Nov 1,21267836,+89.4%,-14.7%,49,Regretting You,3769072,2025-12-21
Oct 31Halloween,11226731,+81.4%,-57.1%,52,Black Phone 2,2421575,2025-12-21
Oct 30,6189401,-19.2%,+47.4%,46,Chainsaw Man - The Movie: Reze Arc,1335039,2025-12-21
Oct 29,7664052,-12.9%,+44%,47,Chainsaw Man - The Movie: Reze Arc,1622216,2025-12-21
Oct 28,8803568,+38.3%,+12.6%,41,Chainsaw Man - The Movie: Reze Arc,2072684,2025-12-21
Oct 27,6365529,-64.7%,+20%,42,Chainsaw Man - The Movie: Reze Arc,1708625,2025-12-21
Oct 26,18013349,-27.8%,+13.5%,43,Chainsaw Man - The Movie: Reze Arc,4193308,2025-12-21
Oct 25,24939286,-4.8%,+6.6%,43,Black Phone 2,5462570,2025-12-21
Oct 24,26193961,+523.8%,+19.6%,43,Chainsaw Man - The Movie: Reze Arc,8520755,2025-12-21
Oct 23,4198803,-21.1%,+11.9%,43,Black Phone 2,1658850,2025-12-21
Oct 22,5322464,-31.9%,+10.9%,45,Black Phone 2,1864075,2025-12-21
Oct 21,7815377,+47.3%,+2.5%,43,Black Phone 2,3064305,2025-12-21
Oct 20,5305930,-66.6%,-40.8%,43,Black Phone 2,2134125,2025-12-21
