date,top10_gross,change_YD,change_LW,releases,title,daily_gross,scrape_date
Feb 12,3626719,-34.5%,+0.6%,49,Heart Eyes,649670,2025-12-21
Feb 11,5533994,+3.5%,-11.5%,49,Heart Eyes,1015416,2025-12-21
Feb 10,5345297,-38.2%,+52.4%,49,Attack on Titan the Movie: The Last Attack,1685917,2025-12-21
Feb 9,8650263,-60.8%,-57.6%,49,Dog Man,3201330,2025-12-21
Feb 8,22087165,+41.5%,-31.5%,49,Dog Man,7357190,2025-12-21
Feb 7,15608890,+370.5%,-29.3%,49,Heart Eyes,3716458,2025-12-21
Feb 6,3317679,-8%,-2.4%,41,Dog Man,881040,2025-12-21
Feb 5,3605563,-42.3%,-15.2%,41,Dog Man,847355,2025-12-21
Feb 4,6249726,+78.1%,-4%,41,Dog Man,1802730,2025-12-21
Feb 3,3508285,-82.8%,-12.2%,41,Dog Man,868585,2025-12-21
Feb 2,20418418,-36.7%,+57.3%,43,Dog Man,10021090,2025-12-21
Feb 1,32262892,+46.1%,+30.1%,43,Dog Man,15202115,2025-12-21
Jan 31,22077123,+549.4%,+42.8%,43,Dog Man,10778735,2025-12-21
Jan 30,3399727,-20.1%,-23.2%,40,One of Them Days,683409,2025-12-21
Jan 29,4252574,-34.7%,-11.1%,40,Flight Risk,770834,2025-12-21
Jan 28,6513216,+63.1%,-12.6%,39,Flight Risk,1473026,2025-12-21
Jan 27,3994588,-69.2%,-73.7%,39,Flight Risk,829143,2025-12-21
Jan 26,12978714,-47.7%,-40.6%,38,Mufasa: The Lion King,2403003,2025-12-21
Jan 25,24797024,+60.4%,-9.7%,38,Flight Risk,4963315,2025-12-21
Jan 24,15463776,+249.4%,-23.2%,37,Flight Risk,4376398,2025-12-21
Jan 23,4426173,-7.5%,-11.6%,40,One of Them Days,917915,2025-12-21
Jan 22,4783115,-35.8%,-17.2%,40,One of Them Days,866156,2025-12-21
Jan 21,7455997,-50.8%,-16.2%,40,One of Them Days,1304289,2025-12-21
Jan 20MLK Day,15167083,-11.4%,-48.9%,41,Mufasa: The Lion King,3372519,2025-12-21
Jan 19,21841768,-20.5%,+6%,41,Mufasa: The Lion King,4335578,2025-12-21
Jan 18,27460774,+36.4%,-12.1%,42,Mufasa: The Lion King,5151430,2025-12-21
Jan 17,20133071,+302.3%,+3%,41,One of Them Days,4480348,2025-12-21
Jan 16,5004775,-13.3%,-26.3%,38,Mufasa: The Lion King,877582,2025-12-21
Jan 15,5774907,-35.1%,-22.8%,38,Den of Thieves: Pantera,984014,2025-12-21
Jan 14,8900061,+67.8%,-21.3%,38,Mufasa: The Lion King,1725436,2025-12-21
Jan 13,5304058,-74.3%,-38.9%,38,Den of Thieves: Pantera,1033739,2025-12-21
Jan 12,20600141,-34.1%,-16.7%,39,Mufasa: The Lion King,4668878,2025-12-21
Jan 11,31250792,+59.9%,-25%,39,Mufasa: The Lion King,6664944,2025-12-21
Jan 10,19540567,+187.6%,-39.7%,39,Den of Thieves: Pantera,5748627,2025-12-21
Jan 9,6793840,-9.2%,-73.8%,39,Mufasa: The Lion King,1389853,2025-12-21
Jan 8,7482848,-33.8%,-81.9%,39,Mufasa: The Lion King,1469902,2025-12-21
Jan 7,11310206,+30.4%,-62.9%,39,Mufasa: The Lion King,2515137,2025-12-21
Jan 6,8676178,-64.9%,-74.8%,39,Mufasa: The Lion King,1976023,2025-12-21
Jan 5,24740982,-40.6%,-48.8%,40,Mufasa: The Lion King,5943478,2025-12-21
Jan 4,41671659,+28.6%,-27.3%,40,Mufasa: The Lion King,9920629,2025-12-21
Jan 3,32408550,+24.8%,-39.9%,40,Mufasa: The Lion King,7597526,2025-12-21
Jan 2,25977466,-37.1%,-50.5%,40,Mufasa: The Lion King,6248851,2025-12-21
Jan 1New Year's Day,41279307,+35.3%,-30.5%,40,Mufasa: The Lion King,10372135,2025-12-21
